Programme_name,School_Name,Programme_requirement,Document_Requirements,Specialization,Country,University_Website
Business Technology and Innovation,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
Master of Arts in Financial Planning and Wealth Management,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
MSc Computational Chemistry,University Of Europe For Applied Sciences,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university.",Tech,Germany,https://www.ue-germany.com/
Master of Science in Sports Management (MSM) with a Business Analytics Concentration,Fleming College Toronto,"Undergraduate degree or Ontario College diploma of 2 years (4 semesters) minimum in any discipline or equivalent.
One mathematics course at the post-secondary level (recommended but not required for admissions).
Successful competition of Fleming College Toronto English Language Bridge Level 6 or provide IELTS Academic Overall 6.5 with no band score less than 6.0 or equivalent (students applying through the SDS stream must have an overall 6.0 with no band less than 6.0).","Original Secondary School Transcript, O-level Certificate, English Proficiency, International Passport, BSc Certificate and Transcript",Business,Canada,https://www.flemingcollegetoronto.ca
"Master of Science in Education Administration with a focus on Project Management
",IBAT College,"IELTS (Academic): 6.0, no component less than 5.5
DuoLingo: Min score 105, min 100 in each section (under review)
Pearson PTE Academic: Min score of 50 (preferably closer to 55)
TOEFL IBT: Min score of 80
Cambridge English Qualifications: A minimum score of 180-190 (FCE Grade B)","English Language requirements for International student ,Overseas equivalent qualifications",Business,Ireland,https://www.ibat.ie/
MIPH in Public Health Policy Analysis and Advocacy,"Norquest College, Canada",IELTS 6.5 and Above Minimum 6.0 in the writing band,"Transcript, Degree/High/Diploma Certificate, Transcripts, SOP, Resume, IELTS, International Passport",Business,Canada,https://www.norquest.ca
MA in Design Management and Leadership,University Of Warsaw,"The original of secondary school (maturity) certificate and transcript of grades, entitling to undertake university-level study in country in which the certificate / document was issued
a proof of student’s id (ELS) payment – in case of candidates not holding ELS",,Science,POLAND,www.uw.edu.pl
MA in Social Media Marketing and Digital Communications,"The University Of Law, UK","2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport",Business,United Kingdom,https://www.law.ac.uk/
Strategic Business Planning,"The University Of Law, UK","2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport",Business,United Kingdom,https://www.law.ac.uk/
Business And Society Development,Avila University,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport",Healthcare,United States,https://www.avila.edu/
